key,value,date
CHEMBL479,0,2019-10-01
CHEMBL1232562,0,2019-10-01
CHEMBL284906,0,2019-10-01
CHEMBL1729803,0,2019-10-01
CHEMBL3833333,0,2019-10-01
CHEMBL3936761,0,2019-10-01
CHEMBL1200866,0,2019-10-01
CHEMBL197194,0,2019-10-01
CHEMBL298470,0,2019-10-01
CHEMBL3183968,0,2019-10-01
CHEMBL290916,0,2019-10-01
CHEMBL1233550,0,2019-10-01
CHEMBL4081711,0,2019-10-01
CHEMBL2374220,0,2019-10-01
CHEMBL672,0,2019-10-01
CHEMBL545,0,2019-10-01
CHEMBL221722,0,2019-10-01
CHEMBL1486,0,2019-10-01
CHEMBL572964,0,2019-10-01
CHEMBL2104397,0,2019-10-01
CHEMBL403664,0,2019-10-01
CHEMBL2391146,0,2019-10-01
CHEMBL575060,0,2019-10-01
CHEMBL64,0,2019-10-01
CHEMBL3617964,0,2019-10-01
CHEMBL198362,0,2019-10-01
CHEMBL651,0,2019-10-01
CHEMBL2106419,0,2019-10-01
CHEMBL154,0,2019-10-01
CHEMBL72275,0,2019-10-01
CHEMBL273264,0,2019-10-01
CHEMBL606111,0,2019-10-01
CHEMBL113150,0,2019-10-01
CHEMBL1708,0,2019-10-01
CHEMBL856,0,2019-10-01
CHEMBL2158685,0,2019-10-01
CHEMBL1670,0,2019-10-01
CHEMBL1200539,0,2019-10-01
CHEMBL650,0,2019-10-01
CHEMBL778,0,2019-10-01
CHEMBL628,0,2019-10-01
CHEMBL1513,0,2019-10-01
CHEMBL417016,0,2019-10-01
CHEMBL305906,0,2019-10-01
CHEMBL1255,0,2019-10-01
CHEMBL4297349,0,2019-10-01
CHEMBL2095223,0,2019-10-01
CHEMBL1061,0,2019-10-01
CHEMBL134,0,2019-10-01
CHEMBL1472989,0,2019-10-01
CHEMBL1140,0,2019-10-01
CHEMBL4206119,0,2019-10-01
CHEMBL2207138,0,2019-10-01
CHEMBL40,0,2019-10-01
CHEMBL3989738,0,2019-10-01
CHEMBL197672,0,2019-10-01
CHEMBL3989714,0,2019-10-01
CHEMBL1169,0,2019-10-01
